Rank,Name,Country,Scientific_Score,Practical_Score,Total_Score,Award
1,Krzysztof Rojek,Poland,98.11,84.29,542.05,Gold
2,Kieran Chai Kai Ren,Singapore,98.42,87.81,465.71,Gold
3,Wang Jiayu,Singapore,98.11,87.46,463.17,Gold
4,Vershinin Mikhail,Russia,97.57,98.81,460.69,Gold
5,Beliaev Matvei,Russia,99.56,91.86,442.75,Gold
6,Garifullin Timur,Russia,93.19,16.86,423.01,Gold
7,Tymoteusz Stępkowski,Poland,98.68,99.91,413.34,Gold
8,Mușat Tudor-Ștefan,Romania,93,70.95,403.67,Gold
9,Kanabek Abu,Kazakhstan,97.95,99.21,400.09,Gold
10,Naoya Tokita,Japan,87,72.84,399.04,Gold
11,Roumak Das,India,95.55,83.76,398.18,Gold
12,Dinmukhametov Danis,Russia,98.96,52.95,392.13,Gold
13,Khlopotnykh Andrei,Russia,98.83,88.56,390.86,Gold
14,Teo Lovmar,Sweden,92.9,22.05,384.1,Gold
15,Issatay Sultanbi,Kazakhstan,100,58.71,380.37,Gold
16,Nguyen Viet Trung Nhan,Vietnam,97.95,86.18,379.43,Gold
17,Cheng Lai Yin,Hong Kong China,96.31,45.51,373.16,Gold
18,Arjun Tyagi,India,98.8,44.45,366.18,Gold
19,Soham Sen,India,98.2,85.26,365.57,Gold
20,Drokanov Oleg,Russia,98.45,33.71,364.81,Gold
21,Nguyen Huu Tuan,Vietnam,98.68,79.89,361.66,Gold
22,Kassymkan Zhanibek,Kazakhstan,96.09,68.05,359.39,Gold
23,Dawid Kot,Poland,98.61,57.17,356.81,Gold
24,Nguyen Phu Nhan,Vietnam,88.14,62.1,351.81,Gold
25,Shine Xu Jiajing,Singapore,98.42,78.35,351.41,Silver
26,Jinwoong Lee,South Korea,90.98,98.5,344.33,Silver
27,Anango Prabhat,United Kingdom,85.02,73.33,340.21,Silver
28,Shi Zhenghang,China,98.61,65.8,338.59,Silver
29,Faiz Ramadhan,Indonesia,93.12,36.75,337.98,Silver
30,Yong Zi Hong,Malaysia,94.89,50.79,329.48,Silver
31,Matthew Pramana,Indonesia,97.76,99.16,326.09,Silver
32,Theodoros Sarras,Greece,98.68,54.31,324.28,Silver
33,Jan Kociszewski,Poland,96.75,79.09,323.76,Silver
34,Petrean Roland,Romania,98.17,21.43,323.69,Silver
35,Morariu Tudor,Romania,98.58,98.68,320.54,Silver
36,Haruto Suzuki,Japan,97.67,0,319.43,Silver
37,Rayan Banerjee,India,87.19,1.67,313.17,Silver
38,Kemal Mete Akkaş,Turkiye,96.72,52.55,312.5,Silver
39,Ali Shayan,Iran,82.33,74.16,309.72,Silver
40,Vince Ungár,Hungary,97.44,74.16,305.96,Silver
41,Samik Goyal,India,92.93,30.11,305.68,Silver
42,Zhao Fucheng,China,97.54,20.91,305.28,Silver
43,Mazur Artem,Russia,99.34,55.46,304.55,Silver
44,Dumitrașcu Ștefan-Alexandru,Romania,94.64,88.78,304.36,Silver
45,Matan Israël,France,32.11,61.27,299.34,Silver
46,Şuayp Talha Kocabay,Turkiye,91.8,99.78,299.18,Silver
47,Vladyslav Khalin,IOAI Team,55.93,39.74,298.92,Silver
48,Mateusz Kwietniewski,Poland,97.13,75.88,297.86,Silver
49,Mak Chon Hei,Macao China,91.83,35.65,296.98,Silver
50,Zhang Yihao,Singapore,97.41,58.85,296.91,Silver
51,Pranav Sambhu,United States,77.38,58.63,296.55,Silver
52,Wang Zerui,Singapore,98.49,4.71,296.33,Silver
53,Matthew Williams,Jamaica,76.4,64.88,296.25,Silver
54,Xian Chin Lok,Hong Kong China,92.11,100,296.09,Silver
55,Dimitrios Toulis,Greece,98.45,74.6,295.76,Silver
56,Luvidi Pranawa Alghari,Indonesia,97.38,0,294.25,Silver
57,Nguyen Nhat Minh,Vietnam,95.49,62.5,293.34,Silver
58,Arash Yousefnezhad,Iran,97.38,98.81,290.84,Silver
59,William Wang,United States,89.21,60.7,290.67,Silver
60,Michał Karp,Poland,95.8,70.03,287.01,Silver
61,Aushakhman Talim,Kazakhstan,97.1,0,285.58,Silver
62,Gergely Lehotai,Hungary,95.62,68.44,284.38,Silver
63,Lily Shi,United States,95.05,77.16,284.04,Silver
64,Kyrylo Redenskyi,IOAI Team,99.02,83.23,277.37,Silver
65,Wong Yue Heng,Singapore,93,21.3,276.6,Silver
66,Wang Mutian,China,94.64,21.04,273.65,Silver
67,Wang Enrun Matthias,Singapore,98.52,13.12,270.42,Silver
68,Mocanu Mihai-Adrian,Romania,82.4,0,270.1,Silver
69,Talha Rüzgar Akkuş,Turkiye,82.81,98.06,270.09,Silver
