1	Krzysztof Rojek	Poland	98.11	84.29	65.92	100	98.88	94.85	542.05	Gold
2	 Kieran Chai Kai Ren	Singapore	98.42	87.81	92.17	27.52	97.01	62.78	465.71	Gold
3	Wang Jiayu	Singapore	98.11	87.46	80.66	27.52	97.76	71.66	463.17	Gold
4	Vershinin Mikhail	Russia	97.57	98.81	79.86	42	96.27	46.18	460.69	Gold
5	Beliaev Matvei	Russia	99.56	91.86	69.44	0	99.63	82.26	442.75	Gold
6	Garifullin Timur	Russia	93.19	16.86	88.8	27.52	96.64	100	423.01	Gold
7	Tymoteusz Stępkowski	Poland	98.68	99.91	10.87	27.52	99.25	77.11	413.34	Gold
8	Mușat Tudor-Ștefan	Romania	93	70.95	23.93	27.52	100	88.27	403.67	Gold
9	Kanabek Abu	Kazakhstan	97.95	99.21	63.75	0	97.01	42.17	400.09	Gold
10	Naoya Tokita	Japan	87	72.84	26.44	13.04	100	99.72	399.04	Gold
11	Roumak Das	India	95.55	83.76	100	27.52	40.3	51.05	398.18	Gold
12	Dinmukhametov Danis	Russia	98.96	52.95	69.13	27.52	97.39	46.18	392.13	Gold
13	Khlopotnykh Andrei	Russia	98.83	88.56	31.03	13.04	64.55	94.85	390.86	Gold
14	Teo Lovmar	Sweden	92.9	22.05	88.61	0	100	80.54	384.1	Gold
15	Issatay Sultanbi	Kazakhstan	100	58.71	29.75	0	99.63	92.28	380.37	Gold
16	Nguyen Viet Trung Nhan	Vietnam	97.95	86.18	18.92	27.52	99.25	49.61	379.43	Gold
17	Cheng Lai Yin	Hong Kong, China	96.31	45.51	79.01	0	98.13	54.2	373.16	Gold
18	Arjun Tyagi	India	98.8	44.45	77.12	0	57.84	87.97	366.18	Gold
19	Soham Sen	India	98.2	85.26	75.28	0	97.01	9.82	365.57	Gold
20	Drokanov Oleg	Russia	98.45	33.71	86.96	0	96.64	49.05	364.81	Gold
21	Nguyen Huu Tuan	Vietnam	98.68	79.89	22.82	27.52	98.88	33.87	361.66	Gold
22	Kassymkan Zhanibek	Kazakhstan	96.09	68.05	86.63	0	69.03	39.59	359.39	Gold
23	Dawid Kot	Poland	98.61	57.17	38.92	0	71.27	90.84	356.81	Gold
24	Nguyen Phu Nhan	Vietnam	88.14	62.1	22.55	0	99.63	79.39	351.81	Gold
25	Shine Xu Jiajing	Singapore	98.42	78.35	75.01	0	99.63	0	351.41	Silver
26	Jinwoong Lee	South Korea	90.98	98.5	26.31	0	99.25	29.29	344.33	Silver
27	Anango Prabhat	United Kingdom	85.02	73.33	7.41	42	70.52	61.93	340.21	Silver
28	Shi Zhenghang	China	98.61	65.8	10.95	0	72.39	90.84	338.59	Silver
29	Faiz Ramadhan	Indonesia	93.12	36.75	62.79	0	96.27	49.05	337.98	Silver
30	Yong Zi Hong	Malaysia	94.89	50.79	14.74	27.52	98.51	43.03	329.48	Silver
31	Matthew Pramana	Indonesia	97.76	99.16	24.43	0	96.64	8.1	326.09	Silver
32	Theodoros Sarras	Greece	98.68	54.31	67.74	13.04	39.18	51.33	324.28	Silver
33	Jan Kociszewski	Poland	96.75	79.09	85.34	0	54.48	8.1	323.76	Silver
34	Petrean Roland	Romania	98.17	21.43	59.5	0	61.19	83.4	323.69	Silver
35	Morariu Tudor	Romania	98.58	98.68	26.19	0	97.01	0.08	320.54	Silver
36	Haruto Suzuki	Japan	97.67	0	16.42	100	95.52	9.82	319.43	Silver
37	Rayan Banerjee	India	87.19	1.67	82.65	27.52	53.36	60.78	313.17	Silver
38	Kemal Mete Akkaş	Turkiye	96.72	52.55	75.28	0	79.85	8.1	312.5	Silver
39	Ali Shayan	Iran	82.33	74.16	8.94	0	99.25	45.04	309.72	Silver
40	Vince Ungár	Hungary	97.44	74.16	15.26	0	90.67	28.43	305.96	Silver
41	Samik Goyal	India	92.93	30.11	22.34	0	79.48	80.82	305.68	Silver
42	Zhao Fucheng	China	97.54	20.91	27.85	0	99.63	59.35	305.28	Silver
43	Mazur Artem	Russia	99.34	55.46	73.79	0	57.84	18.12	304.55	Silver
44	Dumitrașcu Ștefan-Alexandru	Romania	94.64	88.78	14.97	0	97.01	8.96	304.36	Silver
